Qualification Code;Phases Code;Phases Description;Subject Code;Subject Credits;Notional Hours;Periods per Topic;Subject Description;Topic Code;Topic Description;Assessment Criteria Number;Assesment Criteria Description;LPN;Lesson Plan Description ;Lesson Plan Content;Bibliography;Lecturer Actions;Learner Actions;Learning Aids
90420;652302000-KM-02;Fitting Theory;KM-02-KT02;3,04;30,4;6;Types, and application of bearings;KS0204;Causes of failures in bearings;AC 50;The causes of bearing failure are described;LPN 57;Causes of failures in bearings;"Bearing failure can lead to catastrophic equipment damage, and apprentices must understand the common causes to prevent breakdowns. One major cause is insufficient lubrication, which results in excessive friction, overheating, and metal‑to‑metal contact. Contamination from dirt, moisture, or metal particles can also damage rolling surfaces and accelerate wear. Misalignment of shafts or housings places uneven loads on bearings, leading to premature failure. Overloading, incorrect installation, and using the wrong bearing type for the application are additional causes.

Apprentices must learn how to identify early signs of bearing failure, such as unusual noise, vibration, temperature rise, or visible damage. They must also understand how improper handling — such as striking bearings with tools, exposing them to moisture, or failing to maintain cleanliness — contributes to failure. By learning the causes of bearing failure, apprentices develop the ability to implement preventive measures and ensure reliable operation of mechanical systems.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT02;3,04;30,4;6;Types, and application of bearings;KS0205;Removal and installation of bearings;AC 51;Removal, installation amd Safety precaution, procedures for bearings are described;LPN 58;Removal and installation of bearings;"Correct removal and installation of bearings is essential to prevent damage and ensure reliable operation. Apprentices must learn how to use appropriate tools such as bearing pullers, hydraulic presses, induction heaters, and soft‑faced hammers. During removal, force must be applied only to the race being removed to avoid damaging rolling elements or cages. Heating methods may be used to expand the bearing or housing, allowing easier removal without excessive force. Apprentices must also understand how to clean and inspect shafts and housings before installing new bearings.

Installation requires precision and attention to detail. Bearings must be aligned correctly and pressed onto shafts or into housings using controlled force. Applying pressure to the wrong race can cause internal damage and shorten bearing life. Lubrication must be applied according to manufacturer specifications, and seals must be installed correctly to prevent contamination. Safety precautions include wearing PPE, avoiding excessive force, and ensuring that tools are in good condition. By mastering bearing removal and installation, apprentices develop the skills needed to maintain rotating machinery safely and effectively.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT03;3,04;30,4;8;Types and application of valves;KT0301;Classification and types of valves (Classification includes linear motion, rotary motion and quarter turn valves and types include gate, non-return, relief, ball shut- off valves, pipe systems.);AC 52;Explain the classification and types of valves such as linear motion, rotary motion and quarter turn valves and types include gate, non-return, relief, ball shut- off valves, pipe systems.);LPN 59;Classification and types of valves (Classification includes linear motion, rotary motion and quarter turn valves and types include gate, non-return, relief, ball shut- off valves, pipe systems.);"Valves are essential components in mechanical and industrial systems, controlling the flow, pressure, and direction of liquids and gases. Apprentices must understand that valves are classified according to their operating motion: linear‑motion valves, rotary‑motion valves, and quarter‑turn valves. Linear‑motion valves, such as gate valves and globe valves, use a straight‑line movement to open or close the flow path. Gate valves are commonly used for full open or full close applications, while globe valves allow more precise flow control. Rotary‑motion valves, such as butterfly valves, use a rotating disc to regulate flow. Quarter‑turn valves, including ball valves and plug valves, operate with a simple 90‑degree turn, offering fast and reliable shut‑off.

Apprentices must also understand specialised valves such as non‑return valves, which prevent backflow, and relief valves, which protect systems from over‑pressure by releasing excess fluid. Shut‑off valves isolate sections of a pipeline for maintenance or emergency control. Each valve type has specific applications based on pressure rating, fluid type, temperature, and required control accuracy. By learning valve classification and types, apprentices develop the ability to select appropriate valves for mechanical systems and ensure safe, efficient operation.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT03;3,04;30,4;8;Types and application of valves;KT0302;Terminology of valves;AC 53;Explain the different types of valves and associated terminology;LPN 60;Terminology of valves;"Understanding valve terminology is essential for interpreting engineering drawings, selecting components, and performing maintenance. Apprentices must learn key terms such as body, bonnet, stem, disc, seat, packing, gland, actuator, and flow coefficient (Cv). The valve body houses internal components, while the bonnet encloses the stem and provides structural support. The disc or plug is the moving part that regulates flow, and the seat provides the sealing surface. Packing and glands prevent leakage around the stem, ensuring safe operation under pressure.

Apprentices must also understand terms related to valve performance, such as pressure rating, flow direction, leakage class, and actuation method (manual, pneumatic, hydraulic, or electric). Understanding these terms helps apprentices interpret manufacturer specifications and select valves that meet system requirements. By mastering valve terminology, apprentices gain the technical language needed to communicate effectively in workshop and industrial environments.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT03;3,04;30,4;8;Types and application of valves;KT0303;Function and working principle of valves;AC 54;Expalin the function and working principles of valves in mechanical engineering;LPN 61;Function and working principle of valves;"Valves perform several critical functions in mechanical systems, including starting and stopping flow, regulating flow rate, preventing backflow, relieving pressure, and directing fluid movement. Apprentices must understand that each valve type operates according to a specific working principle. For example, gate valves use a vertical sliding gate to block or allow flow, making them ideal for isolation. Globe valves use a movable plug and seat arrangement to regulate flow with precision. Ball valves use a rotating spherical element with a bore through it, allowing quick and reliable shut‑off with a quarter‑turn motion.

Non‑return valves operate automatically, allowing flow in one direction while preventing reverse flow through a spring‑loaded or gravity‑assisted mechanism. Relief valves protect equipment by opening when system pressure exceeds a preset limit. Understanding these working principles helps apprentices diagnose faults, select appropriate valves, and ensure safe system operation. By mastering valve functions, apprentices develop the ability to maintain and troubleshoot fluid systems effectively.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT03;3,04;30,4;8;Types and application of valves;KT0304;Removal and installation of valves;AC 55;Explain the safe removal and installation procedures of valves;LPN 62;Removal and installation of valves;"Safe removal and installation of valves are essential to prevent leaks, equipment damage, and workplace injuries. Apprentices must learn to isolate the system by shutting off upstream and downstream valves, depressurising the line, and draining any remaining fluid. They must also ensure that the system is locked out and tagged out to prevent accidental operation. Before removal, apprentices must inspect the valve and surrounding pipework for corrosion, pressure build‑up, or mechanical stress. Using correct tools such as spanners, chain wrenches, and lifting equipment prevents damage to valve bodies and pipe connections.

During installation, apprentices must ensure that gaskets, flanges, and sealing surfaces are clean and correctly aligned. Bolts must be tightened in a cross‑pattern to ensure even pressure and prevent leaks. The valve must be installed in the correct orientation, following flow‑direction markings and manufacturer guidelines. After installation, the system must be tested for leaks and proper operation. By mastering safe valve removal and installation procedures, apprentices ensure reliable system performance and maintain a safe working environment.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT04;3,04;30,4;10;Types and application of drives;KT0401;Drives (direct and indirect);AC 56;In Fitting Theory identify and explain the classification and types of direct and indirect drives, and the usage or application of drives;LPN 63;Drives (direct and indirect);"Drives are mechanical systems used to transmit power from a prime mover, such as an electric motor, to a driven machine. Apprentices must understand that drives are classified into direct drives and indirect drives. Direct drives connect the motor directly to the driven component without intermediate mechanisms. This arrangement provides high efficiency, minimal power loss, and precise speed control. Direct drives are commonly used in applications such as pumps, compressors, and certain CNC machines where alignment is critical and rotational speeds must be consistent.

Indirect drives use intermediate components such as belts, chains, or gears to transmit power. Belt drives allow flexible positioning of equipment and provide shock absorption, making them suitable for fans, conveyors, and agricultural machinery. Chain drives offer higher torque transmission and are used in heavy‑duty applications such as hoists and industrial machinery. Gear drives provide precise speed ratios and are used in gearboxes, automotive systems, and mechanical presses. By understanding the classification and applications of drives, apprentices develop the ability to select appropriate power‑transmission systems for different mechanical environments.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT04;3,04;30,4;10;Types and application of drives;KT0402;Terminology of drives;AC 57;Explain the different components of drives;LPN 64;Terminology of drives;"Understanding drive terminology is essential for interpreting mechanical systems and performing maintenance. Apprentices must learn the names and functions of key drive components such as pulleys, belts, chains, sprockets, gears, shafts, couplings, and keyways. Pulleys and belts work together to transmit power through friction, while chains and sprockets transmit power through interlocking links. Gears mesh together to change speed, torque, or direction of rotation. Shafts support rotating components, and couplings connect shafts while compensating for minor misalignment.

Apprentices must also understand terms such as speed ratio, torque, pitch, centre distance, and tensioning. These terms describe how power is transmitted and how drive systems must be adjusted for optimal performance. For example, belt tension must be set correctly to prevent slippage, while chain drives require lubrication and alignment to reduce wear. By mastering drive terminology, apprentices gain the technical vocabulary needed to communicate effectively and maintain mechanical systems with confidence.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT04;3,04;30,4;10;Types and application of drives;KT0403;Functions and working principle of drives;AC 58;Explain the functions and working principles of drives, removal and installation procedures, and the safety precautions;LPN 65;Functions and working principle of drives;"Drives function by transferring mechanical power from one component to another, allowing machines to operate at the required speed and torque. Apprentices must understand that the working principle of a drive depends on its type. Belt drives rely on friction between the belt and pulley to transmit power, while chain drives use interlocking links to provide positive engagement. Gear drives transmit power through meshing teeth, allowing precise control of speed and direction. Each drive type has advantages and limitations based on load, speed, alignment, and environmental conditions.

Safe removal and installation of drives require careful planning and adherence to workshop procedures. Apprentices must isolate power sources, lock out equipment, and ensure that rotating parts have come to a complete stop. During removal, belts must be loosened, chains must be disconnected safely, and gears must be extracted using appropriate pullers. Installation requires correct alignment, tensioning, lubrication, and torque settings to prevent premature wear or failure. Safety precautions include wearing PPE, avoiding pinch points, and ensuring that guards are reinstalled before operation. By mastering drive principles and safe handling procedures, apprentices ensure reliable and safe operation of mechanical systems.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT05;3,04;30,4;10;Types and application of pumps;KT0501;Classification of pumps;AC 59;Explain the use or application of pumps in mechanical engineering;LPN 66;Classification of pumps;"Pumps are essential mechanical devices used to move liquids through piping systems by converting mechanical energy into fluid flow. Apprentices must understand that pumps are broadly classified into positive displacement pumps and centrifugal pumps, each suited to specific applications. Positive displacement pumps, such as gear pumps, piston pumps, and diaphragm pumps, deliver a fixed volume of fluid with each cycle. They are ideal for high‑pressure, low‑flow applications and for pumping viscous fluids such as oils, slurries, and chemicals. Centrifugal pumps, on the other hand, use a rotating impeller to impart velocity to the fluid, converting kinetic energy into flow. These pumps are widely used in water supply, cooling systems, irrigation, and general industrial processes.

Understanding pump classification helps apprentices select the correct pump for different mechanical engineering environments. For example, centrifugal pumps are preferred for large‑volume, low‑viscosity fluids, while positive displacement pumps are used when precise flow control or high pressure is required. Apprentices must also understand how pump characteristics such as head, flow rate, efficiency, and power consumption influence system performance. By mastering pump classification and applications, apprentices develop the ability to design, maintain, and troubleshoot fluid systems effectively.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT05;3,04;30,4;10;Types and application of pumps;KT0502;Terminology of pumps;AC 60;Explain the different components of pumps in mechanical engineering;LPN 67;Terminology of pumps;"Understanding pump terminology is essential for interpreting technical specifications, performing maintenance, and diagnosing faults. Apprentices must learn the names and functions of key pump components such as the impeller, casing, shaft, bearings, mechanical seal, gland packing, volute, suction eye, and discharge port. The impeller is the rotating component that imparts energy to the fluid, while the casing directs the flow and converts velocity into pressure. The shaft transmits power from the motor to the impeller, and bearings support the shaft during rotation. Mechanical seals or packing prevent leakage along the shaft.

Apprentices must also understand terms such as head, flow rate, cavitation, NPSH (Net Positive Suction Head), efficiency, and priming. These terms describe pump performance and operating conditions. For example, cavitation occurs when pressure drops below the fluid’s vapour pressure, causing bubbles that can damage the impeller. Understanding pump terminology enables apprentices to communicate effectively, interpret manufacturer documentation, and maintain pumps safely and efficiently.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT05;3,04;30,4;10;Types and application of pumps;KT0503;Functions and working principles of pumps;AC 61;Explain the functions and working principles of pumps, the safe isntallation and removal procedure of pumps in mechanical engineering;LPN 68;Functions and working principles of pumps;"Pumps function by transferring energy from a motor or engine to a fluid, enabling it to move through a system at the required pressure and flow rate. Apprentices must understand that centrifugal pumps operate by spinning an impeller inside a casing, creating a low‑pressure area at the suction side and forcing fluid outward through the discharge. Positive displacement pumps work by trapping a fixed volume of fluid and physically pushing it through the system. Each pump type has specific advantages depending on fluid characteristics, required pressure, and system design.

Safe installation and removal of pumps require careful planning and adherence to workshop procedures. Apprentices must isolate the system, lock out power sources, and drain all fluid before beginning work. During removal, they must disconnect electrical connections, unbolt flanges, and use lifting equipment where necessary to avoid injury. Installation requires correct alignment between the pump and motor, proper tightening of bolts, and ensuring that seals, gaskets, and couplings are correctly fitted. The pump must be primed and checked for leaks before operation. By mastering pump principles and safe handling procedures, apprentices ensure reliable system performance and prevent equipment damage or workplace accidents";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT06;3,04;30,4;8;Mechanical working principles, types and applications of reduction gearboxes;KT0601;Gearboxes (single reduction, double reduction, variable speed);AC 62;Types of gearboxes are identified and described;LPN 69;Gearboxes (single reduction, double reduction, variable speed);"Gearboxes are mechanical devices used to transmit power and adjust speed and torque between a driving motor and a driven machine. Apprentices must understand the different types of gearboxes, including single‑reduction, double‑reduction, and variable‑speed gearboxes. A single‑reduction gearbox uses one set of gears to reduce speed and increase torque, making it suitable for moderate load applications. Double‑reduction gearboxes use two gear stages to achieve greater speed reduction and higher torque output, commonly used in heavy‑duty machinery such as conveyors, crushers, and industrial mixers.

Variable‑speed gearboxes allow operators to adjust output speed without changing motor speed. These gearboxes may use mechanical, hydraulic, or electronic systems to vary speed smoothly. Apprentices must understand how gear ratios influence performance and how gearbox selection depends on load requirements, operating conditions, and system design. By learning the types and characteristics of gearboxes, apprentices develop the ability to identify appropriate power‑transmission solutions for different mechanical applications.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT06;3,04;30,4;8;Mechanical working principles, types and applications of reduction gearboxes;KT0601;Terminology of gearboxes;AC 63;Components of gearboxes are identified and described;LPN 70;Terminology of gearboxes;"Understanding gearbox terminology is essential for interpreting technical documentation, performing maintenance, and diagnosing faults. Apprentices must learn the names and functions of key gearbox components such as gears, shafts, bearings, housings, seals, keys, couplings, and lubrication systems. Gears transmit power through meshing teeth, while shafts support and transfer rotational motion. Bearings reduce friction and support the shafts, and seals prevent oil leakage. The housing encloses and protects internal components, maintaining alignment and structural integrity.

Apprentices must also understand terms such as gear ratio, torque, pitch circle diameter, backlash, and efficiency. Gear ratio determines how speed and torque are modified, while backlash refers to the small clearance between gear teeth that allows smooth operation. Proper lubrication is essential to prevent wear and overheating. By mastering gearbox terminology, apprentices gain the technical vocabulary needed to communicate effectively and maintain gearboxes with confidence.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT06;3,04;30,4;8;Mechanical working principles, types and applications of reduction gearboxes;KT0601;Functions and working principles of gearboxes;AC 64;Functions and working principles of gearboxes are described;LPN 71;Functions and working principles of gearboxes;"Gearboxes function by modifying the speed and torque delivered from a motor to a machine, allowing equipment to operate efficiently under varying load conditions. Apprentices must understand that gearboxes use different gear arrangements — such as spur, helical, bevel, and worm gears — to achieve specific performance characteristics. Spur gears provide simple, efficient power transmission, while helical gears offer smoother and quieter operation. Bevel gears change the direction of rotation, and worm gears provide high reduction ratios in compact spaces.

The working principle of a gearbox is based on gear ratios: when a small gear drives a larger gear, speed decreases while torque increases. This allows machines to perform heavy work without overloading the motor. Apprentices must also understand how lubrication, alignment, and load distribution affect gearbox performance. By mastering gearbox functions and working principles, apprentices develop the ability to troubleshoot faults, optimise performance, and ensure reliable operation of mechanical systems.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT06;3,04;30,4;8;Mechanical working principles, types and applications of reduction gearboxes;KT0601;Removal and installation procedures for gearboxes;AC 65;Safe removal and installation procedures for gearboxes are described;LPN 72;Removal and installation procedures for gearboxes;"Safe removal and installation of gearboxes require careful planning, correct tools, and strict adherence to workshop procedures. Apprentices must begin by isolating the power source, locking out the system, and ensuring that all rotating parts have stopped. Before removal, they must inspect the gearbox and surrounding components for signs of wear, misalignment, or oil leakage. Lifting equipment such as chain blocks or hoists must be used to support the gearbox, preventing strain or injury. Bolts, couplings, and mounting brackets must be loosened systematically to avoid sudden shifts or damage.

During installation, apprentices must ensure that the gearbox is aligned correctly with the motor and driven equipment. Misalignment can cause vibration, excessive wear, and premature failure. Mounting bolts must be tightened evenly, and couplings must be fitted securely. Lubrication levels must be checked, seals inspected, and the gearbox rotated manually to confirm smooth operation before starting the system. By mastering safe gearbox removal and installation procedures, apprentices ensure reliable performance and maintain a safe working environment.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT07;3,04;30,4;8;Mechanical working principles, types and applications of clutches;KT0701;Types of clutches;AC 66;Types of clutches are identified and described;LPN 73;Types of clutches;"Clutches are mechanical devices used to connect and disconnect power between a driving shaft and a driven shaft. Apprentices must understand the different types of clutches commonly used in mechanical engineering, including friction clutches, centrifugal clutches, dog clutches, and electromagnetic clutches. Friction clutches, such as plate clutches and cone clutches, rely on friction surfaces to transmit torque and are widely used in vehicles and machinery. Centrifugal clutches engage automatically as speed increases, making them ideal for small engines and equipment requiring smooth engagement.

Dog clutches use interlocking teeth to provide positive engagement without slip, commonly used in gearboxes and heavy machinery. Electromagnetic clutches use magnetic force to engage and disengage power, offering precise control in automated systems. Each clutch type has specific advantages based on torque requirements, operating speed, and application. By learning the characteristics and uses of different clutches, apprentices develop the ability to select appropriate power‑transmission components for mechanical systems.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT07;3,04;30,4;8;Mechanical working principles, types and applications of clutches;KT0702;Terminology of clutches;AC 67;Components of clutches are identified and discussed;LPN 74;Terminology of clutches;"Understanding clutch terminology is essential for interpreting technical documentation, performing maintenance, and diagnosing faults. Apprentices must learn the names and functions of key clutch components such as the flywheel, pressure plate, clutch disc, friction lining, release bearing, springs, and actuation mechanism. The flywheel provides a smooth rotating surface and stores rotational energy, while the clutch disc transmits torque through friction. The pressure plate applies clamping force to engage the clutch, and the release bearing disengages the clutch when the operator applies force through a pedal or actuator.

Apprentices must also understand terms such as torque capacity, slip, engagement, clutch drag, and clutch fade. These terms describe how the clutch behaves under load and how performance is affected by wear, heat, or incorrect adjustment. By mastering clutch terminology, apprentices gain the technical vocabulary needed to communicate effectively and maintain clutch systems with confidence.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT07;3,04;30,4;8;Mechanical working principles, types and applications of clutches;KT0703;Functions and working principles of clutches;AC 68;Functions and working principles of clutches are described;LPN 75;Functions and working principles of clutches;"Clutches function by allowing controlled engagement and disengagement of power between a driving motor and a driven machine. Apprentices must understand that the working principle of a clutch is based on friction or mechanical engagement. In friction clutches, torque is transmitted when friction surfaces are pressed together, allowing smooth engagement and controlled power transfer. This is essential in applications such as vehicles, where the clutch enables smooth starting, gear changes, and stopping without stalling the engine.

Mechanical clutches, such as dog clutches, transmit torque through interlocking teeth, providing positive engagement without slip. Centrifugal clutches engage automatically as rotational speed increases, while electromagnetic clutches use magnetic force to engage power instantly. Apprentices must understand how clutch performance is influenced by friction material, spring force, alignment, and operating conditions. By mastering clutch functions and working principles, apprentices develop the ability to troubleshoot faults, optimise performance, and ensure reliable operation of mechanical systems.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
90420;652302000-KM-02;Fitting Theory;KM-02-KT07;3,04;30,4;8;Mechanical working principles, types and applications of clutches;KT0704;Removal and installation procedure for clutches;AC 69;Removal and installation procedures for clutches are described;LPN 76;Removal and installation procedure for clutches;"Safe removal and installation of clutches require precision, correct tools, and strict adherence to workshop procedures. Apprentices must begin by isolating the power source, securing the machine, and ensuring that all rotating parts have stopped. Before removal, they must inspect the clutch assembly for wear, misalignment, or oil contamination. Bolts securing the pressure plate must be loosened evenly to prevent warping, and the clutch disc must be removed carefully to avoid damaging the friction lining. Proper lifting equipment may be required for heavy assemblies.

During installation, apprentices must ensure that the clutch disc is aligned correctly using an alignment tool to prevent vibration or difficulty engaging gears. The pressure plate must be tightened in a cross‑pattern to ensure even clamping force. All components must be inspected for wear, and bearings or seals replaced if necessary. After installation, the clutch must be tested for smooth engagement, correct pedal travel, and absence of noise or drag. By mastering clutch removal and installation procedures, apprentices ensure safe, reliable, and efficient operation of mechanical systems.";;"Follow the Lesson, Explain, Demonstrate, Verify Learner understanding, Practical Skills, Reflexivity
Summary Lesson. Highlight Key Points. Explain Workbook Exercises";"Pay Attention.
Take Notes
Ask when uncertain.
Mark topic in Learner Guide. Clarify Workbook Exercises. Clarify POE Content. Study after hours.
";"PowerPoint slides.
Learner Guides.
Workbook.
Videos.
Relevant Protective Clothing.
Signs and Symbols.
Mechanical parts and Components."
